Student_ID,Academic_Score,Industry_Skill,Skill_Gap,Employability_Percentage,Employment_Status
S001,59,44,15,73,Employed
S002,50,67,17,87,Employed
S003,46,81,35,67,Not Employed
S004,55,68,13,85,Employed
S005,92,93,1,100,Employed
S006,53,59,6,92,Employed
S007,92,56,36,61,Not Employed
S008,88,49,39,54,Not Employed
S009,98,84,14,93,Employed
S010,64,50,14,91,Employed
S011,67,35,32,62,Not Employed
S012,84,55,29,70,Employed
S013,44,73,29,71,Employed
S014,90,92,2,100,Employed
S015,75,33,42,52,Not Employed
S016,73,89,16,86,Employed
S017,82,57,25,71,Employed
S018,100,85,15,96,Employed
S019,87,47,40,49,Not Employed
S020,69,50,19,85,Employed
S021,73,87,14,91,Employed
S022,49,78,29,66,Not Employed
S023,40,93,53,46,Not Employed
S024,66,92,26,75,Employed
S025,67,86,19,82,Employed
S026,41,51,10,94,Employed
S027,96,81,15,97,Employed
S028,72,98,26,72,Employed
S029,92,75,17,80,Employed
S030,60,77,17,81,Employed
S031,99,54,45,60,Not Employed
S032,42,92,50,46,Not Employed
S033,67,44,23,69,Not Employed
S034,63,74,11,84,Employed
S035,89,85,4,100,Employed
S036,68,34,34,60,Not Employed
S037,80,32,48,37,Not Employed
S038,67,62,5,95,Employed
S039,53,85,32,73,Employed
S040,43,48,5,83,Employed
S041,92,48,44,48,Not Employed
S042,71,93,22,82,Employed
S043,63,32,31,56,Not Employed
S044,81,93,12,95,Employed
S045,60,95,35,63,Not Employed
S046,76,36,40,45,Not Employed
S047,73,94,21,77,Employed
S048,62,72,10,92,Employed
S049,62,58,4,100,Employed
S050,42,75,33,65,Not Employed
S051,60,49,11,84,Employed
S052,47,60,13,83,Employed
S053,81,40,41,47,Not Employed
S054,55,56,1,100,Employed
S055,47,64,17,85,Employed
S056,43,51,8,89,Employed
S057,44,85,41,55,Not Employed
S058,56,80,24,71,Employed
S059,64,87,23,73,Employed
S060,59,34,25,69,Not Employed
S061,90,63,27,72,Employed
S062,54,42,12,74,Employed
S063,87,55,32,72,Employed
S064,70,50,20,81,Employed
S065,99,86,13,94,Employed
S066,73,96,23,75,Employed
S067,93,44,49,37,Not Employed
S068,41,32,9,78,Employed
S069,92,46,46,45,Not Employed
S070,49,73,24,75,Employed
S071,49,55,6,94,Employed
S072,85,77,8,94,Employed
S073,57,54,3,100,Employed
S074,62,73,11,91,Employed
S075,48,56,8,91,Employed
S076,60,77,17,80,Employed
S077,64,90,26,70,Employed
S078,95,30,65,20,Not Employed
S079,88,98,10,100,Employed
S080,41,82,41,63,Not Employed
S081,45,36,9,82,Employed
S082,88,35,53,40,Not Employed
S083,59,53,6,97,Employed
S084,63,49,14,81,Employed
S085,93,31,62,25,Not Employed
S086,67,70,3,93,Employed
S087,46,49,3,91,Employed
S088,69,41,28,64,Not Employed
S089,75,47,28,60,Not Employed
S090,49,86,37,68,Not Employed
S091,55,46,9,78,Employed
S092,100,30,70,17,Not Employed
S093,52,74,22,83,Employed
S094,59,70,11,93,Employed
S095,76,70,6,97,Employed
S096,65,57,8,93,Employed
S097,48,61,13,86,Employed
S098,88,32,56,29,Not Employed
S099,69,40,29,56,Not Employed
S100,50,86,36,62,Not Employed
S101,57,61,4,94,Employed
S102,89,83,6,100,Employed
S103,98,69,29,69,Not Employed
S104,80,83,3,100,Employed
S105,67,51,16,88,Employed
S106,45,38,7,88,Employed
S107,46,61,15,81,Employed
S108,87,82,5,100,Employed
S109,95,96,1,100,Employed
S110,91,41,50,43,Not Employed
S111,43,53,10,94,Employed
S112,44,55,11,87,Employed
S113,79,55,24,77,Employed
S114,43,31,12,73,Employed
S115,60,82,22,76,Employed
S116,52,78,26,77,Employed
S117,78,41,37,57,Not Employed
S118,62,81,19,84,Employed
S119,85,95,10,97,Employed
S120,72,68,4,100,Employed
S121,66,48,18,71,Employed
S122,66,64,2,100,Employed
S123,89,78,11,88,Employed
S124,75,97,22,79,Employed
S125,50,86,36,59,Not Employed
S126,93,84,9,97,Employed
S127,47,60,13,82,Employed
S128,57,91,34,68,Not Employed
S129,62,86,24,81,Employed
S130,56,57,1,100,Employed
S131,46,77,31,64,Not Employed
S132,72,99,27,72,Employed
S133,75,81,6,94,Employed
S134,65,30,35,53,Not Employed
S135,56,100,44,58,Not Employed
S136,85,54,31,71,Employed
S137,91,87,4,100,Employed
S138,90,83,7,100,Employed
S139,44,89,45,56,Not Employed
S140,95,40,55,31,Not Employed
S141,44,93,49,50,Not Employed
S142,99,58,41,54,Not Employed
S143,57,96,39,63,Not Employed
S144,42,45,3,85,Employed
S145,86,96,10,100,Employed
S146,92,80,12,98,Employed
S147,86,76,10,87,Employed
S148,76,82,6,92,Employed
S149,52,91,39,58,Not Employed
S150,57,31,26,66,Not Employed
S151,41,47,6,88,Employed
S152,91,93,2,100,Employed
